id,newperiod,score,correct,Hispanic,Black,Asian,Other race,Fall,Online,GPA,SAT verbal,SAT math,Female,Age,Parttime,Native Language English?,Sophomore or below,avgcor
1393,Pre-Covid,30,0,0,0,1,0,1,0,NA,570,560,1,19,0,1,1,0.41666666666666663
1704,Pre-Covid,82.5,1,0,0,1,0,1,0,NA,480,760,0,24,0,0,1,0.7916666666666666
1470,Pre-Covid,50,1,0,0,1,0,1,0,NA,790,710,1,19,0,1,1,0.7083333333333334
1772,Pre-Covid,70,0,0,0,1,0,1,0,NA,NA,NA,1,21,0,0,1,0.625
1862,Pre-Covid,62.5,1,0,0,1,0,1,0,4,NA,NA,1,18,0,NA,1,0.9583333333333334
2399,Pre-Covid,87.5,1,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,1
2475,Pre-Covid,82.5,1,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,0.8333333333333333
2641,Pre-Covid,47.5,0,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,0.45833333333333337
2915,Pre-Covid,57.49999999999999,0,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,0.5833333333333334
2953,Pre-Covid,65,1,0,0,1,0,1,0,NA,NA,NA,1,18,0,NA,1,0.875
309,Pre-Covid,80,1,0,0,1,0,1,0,NA,620,700,0,24,0,0,1,0.9583333333333334
346,Pre-Covid,65,1,0,0,1,0,1,0,NA,480,610,0,20,0,0,1,0.8333333333333333
397,Pre-Covid,47.5,0,0,0,1,0,1,0,3.5199999809265137,380,580,0,20,0,0,1,0.375
400,Pre-Covid,65,0,0,0,1,0,1,0,3,480,610,0,20,0,0,1,0.6666666666666666
401,Pre-Covid,47.5,0,0,0,1,0,1,0,2.7200000286102295,520,610,0,20,0,NA,1,0.45833333333333337
881,Pre-Covid,72.5,1,0,0,1,0,1,0,NA,550,650,0,20,0,1,1,0.9166666666666666
1079,Pre-Covid,35,1,0,0,1,0,1,0,4,NA,NA,1,19,1,0,1,0.7916666666666666
1320,Pre-Covid,47.5,1,0,0,1,0,1,0,NA,610,630,0,19,0,1,1,0.6666666666666666
1324,Pre-Covid,45,0,0,0,1,0,1,0,NA,520,650,0,19,0,1,1,0.45833333333333337
1329,Pre-Covid,52.5,0,0,0,1,0,1,0,NA,570,660,0,19,0,0,1,0.375
1346,Pre-Covid,85,1,0,0,1,0,1,0,NA,610,650,0,19,0,1,1,1
1411,Pre-Covid,45,0,0,0,1,0,1,0,NA,500,740,0,19,0,0,1,0.33333333333333337
1434,Pre-Covid,80,1,0,0,1,0,1,0,NA,640,650,0,19,0,1,1,1
1437,Pre-Covid,85,1,0,0,1,0,1,0,NA,480,710,0,19,0,0,1,1
1555,Pre-Covid,52.5,0,0,0,1,0,1,0,NA,750,790,0,19,0,1,1,0.45833333333333337
1573,Pre-Covid,55.00000000000001,1,0,0,1,0,1,0,NA,590,570,0,19,0,0,1,0.7083333333333333
1687,Pre-Covid,45,0,0,0,1,0,1,0,NA,580,760,0,19,0,0,1,0.45833333333333337
1694,Pre-Covid,45,0,0,0,1,0,1,0,NA,680,640,0,19,0,1,1,0.45833333333333337
331,Pre-Covid,30,0,0,1,0,0,1,0,2.609999895095825,450,460,0,21,1,NA,1,0.125
1341,Pre-Covid,65,1,0,1,0,0,1,0,NA,570,580,0,19,0,1,1,0.7083333333333333
1706,Pre-Covid,50,0,0,1,0,0,1,0,NA,580,580,1,19,0,1,1,0.45833333333333337
472,Pre-Covid,40,1,0,1,0,0,1,0,3.5799999237060547,380,420,0,22,0,0,0,0.7083333333333333
877,Pre-Covid,77.5,1,0,1,0,0,1,0,NA,760,670,0,20,0,1,1,0.875
1088,Pre-Covid,65,1,0,1,0,0,1,0,NA,520,530,0,31,0,1,1,0.75
2587,Pre-Covid,50,1,0,1,0,0,1,0,NA,NA,NA,1,33,0,NA,1,0.7083333333333334
1484,Pre-Covid,67.5,1,0,1,0,0,1,0,NA,520,630,1,19,0,1,1,0.8333333333333334
170,Pre-Covid,42.5,0,0,1,0,0,1,0,NA,490,430,0,23,1,1,1,0.25
232,Pre-Covid,47.5,1,1,0,0,0,1,0,3.4700000286102295,380,390,1,21,0,NA,0,0.7083333333333334
641,Pre-Covid,47.5,0,1,0,0,0,1,0,3.2300000190734863,590,500,0,19,0,NA,1,0.5416666666666667
748,Pre-Covid,40,0,1,0,0,0,1,0,3.700000047683716,NA,NA,1,20,0,NA,1,0.33333333333333337
1313,Pre-Covid,47.5,0,1,0,0,0,1,0,3.869999885559082,500,600,0,19,0,NA,1,0.625
356,Pre-Covid,37.5,1,1,0,0,0,1,0,NA,NA,NA,1,37,0,0,1,0.5
628,Pre-Covid,50,1,1,0,0,0,1,0,NA,500,550,1,19,0,NA,1,0.7916666666666667
816,Pre-Covid,52.5,0,1,0,0,0,1,0,NA,NA,NA,0,20,0,1,1,0.6666666666666666
1355,Pre-Covid,42.5,1,1,0,0,0,1,0,NA,570,560,0,19,0,1,1,0.5416666666666666
68,Pre-Covid,77.5,1,1,0,0,0,1,0,0,720,700,0,28,0,1,1,0.8333333333333333
73,Pre-Covid,82.5,1,1,0,0,0,1,0,2.7899999618530273,NA,400,0,30,0,NA,0,1
290,Pre-Covid,25,1,1,0,0,0,1,0,2.9000000953674316,NA,NA,0,28,0,1,0,0.41666666666666663
515,Pre-Covid,27.500000000000004,0,1,0,0,0,1,0,2.640000104904175,510,390,0,28,0,1,0,0.125
217,Pre-Covid,32.5,0,1,0,0,0,1,0,3.559999942779541,520,510,0,20,1,NA,1,0.33333333333333337
342,Pre-Covid,82.5,1,0,0,0,0,1,0,3.8399999141693115,NA,NA,0,20,0,1,0,0.7916666666666666
634,Pre-Covid,47.5,0,0,0,0,0,1,0,2.799999952316284,660,640,0,19,0,NA,1,0.375
723,Pre-Covid,60,1,0,0,0,0,1,0,3,550,590,1,19,0,NA,1,0.75
779,Pre-Covid,45,1,0,0,0,0,1,0,NA,530,730,0,20,0,1,1,0.625
849,Pre-Covid,37.5,1,0,0,0,0,1,0,NA,NA,NA,1,28,0,0,1,0.5
1112,Pre-Covid,75,1,0,0,0,0,1,0,NA,500,530,0,20,0,NA,1,1
1308,Pre-Covid,45,1,0,0,0,0,1,0,NA,680,650,1,20,0,1,1,0.5833333333333334
1396,Pre-Covid,57.49999999999999,1,0,0,0,0,1,0,NA,550,620,0,19,0,1,1,0.8333333333333333
1397,Pre-Covid,52.5,1,0,0,0,0,1,0,NA,660,600,1,19,0,1,1,0.6666666666666666
1417,Pre-Covid,60,1,0,0,0,0,1,0,NA,530,640,0,19,0,1,1,0.6666666666666667
1461,Pre-Covid,72.5,1,0,0,0,0,1,0,NA,640,650,0,19,0,1,1,1
1557,Pre-Covid,55.00000000000001,0,0,0,0,0,1,0,NA,680,650,0,19,0,1,1,0.5
2232,Pre-Covid,77.5,1,0,0,0,0,1,0,NA,NA,NA,1,19,0,NA,1,0.9583333333333334
902,Pre-Covid,80,1,0,0,0,0,1,0,NA,660,570,0,20,0,1,1,1
1380,Pre-Covid,50,0,0,0,0,0,1,0,NA,640,650,1,19,0,1,1,0.5
1407,Pre-Covid,62.5,1,0,0,0,0,1,0,4,520,650,0,19,0,0,1,0.9583333333333334
1413,Pre-Covid,62.5,1,0,0,0,0,1,0,NA,550,640,0,19,0,1,1,0.5833333333333334
1422,Pre-Covid,45,1,0,0,0,0,1,0,NA,680,630,0,19,0,1,1,0.5833333333333333
1480,Pre-Covid,67.5,1,0,0,0,0,1,0,NA,570,570,1,19,0,1,1,1
1560,Pre-Covid,47.5,0,0,0,0,0,1,0,NA,550,610,0,19,0,1,1,0.41666666666666663
1667,Pre-Covid,62.5,1,0,0,0,0,1,0,NA,690,560,0,21,0,1,1,0.7083333333333333
4,Pre-Covid,52.5,1,0,0,0,0,1,0,3.4000000953674316,NA,510,1,27,1,NA,0,0.6666666666666666
