ID,correct,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,typegpa,year,online,lowgpa,difficulty,gpamiss,q1,q2,q3,q4,age,time
251,1,0,0,0,0,0,1,0,3.4800000190734863,0,0,Henry,F,high,2019,0,0,h,0,0,0,1,0,27,1
350,0,0,0,0,0,0,1,0,3.75,1,1,Henry,F,high,2019,0,0,h,0,0,0,0,1,50,1
401,0,0,1,0,0,0,1,0,3.069999933242798,0,0,Henry,F,low,2019,0,1,h,0,1,0,0,0,26,1
519,0,0,0,0,0,0,1,0,2.950000047683716,0,1,Henry,F,low,2019,0,1,h,0,1,0,0,0,24,1
592,1,0,0,0,0,0,1,0,3.8499999046325684,0,0,Henry,F,high,2019,0,0,h,0,0,0,0,1,34,1
698,0,0,1,0,0,0,1,0,3.359999895095825,0,0,Henry,F,high,2019,0,0,h,0,0,0,1,0,22,1
1466,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,19,1
1790,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,24,1
1548,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
1862,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,21,1
1954,1,0,1,0,0,0,1,0,4,0,1,Joyce,F,high,2019,0,0,h,0,0,0,0,1,18,1
2492,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
2569,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
2735,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
3009,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
3047,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
330,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,24,1
369,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,20,1
422,0,0,0,0,0,0,1,0,3.5199999809265137,0,1,Sun,F,high,2019,0,0,h,0,0,0,1,0,20,1
425,0,0,0,0,0,0,1,0,3,0,1,Sun,F,low,2019,0,1,h,0,1,0,0,0,20,1
426,0,0,0,0,0,0,1,0,2.7200000286102295,0,1,Sun,F,low,2019,0,1,h,0,1,0,0,0,20,1
935,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,20,1
1137,1,0,1,0,0,0,1,0,4,1,1,Sun,F,high,2019,0,0,h,0,0,0,0,1,19,1
1382,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1387,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1392,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1410,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1484,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1509,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1512,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1637,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1656,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1773,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1780,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
354,0,0,0,0,0,1,0,0,2.609999895095825,1,1,Acosta,F,low,2019,0,1,h,0,1,0,0,0,21,1
1404,1,0,0,0,0,1,0,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1792,0,0,1,0,0,1,0,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
500,1,0,0,0,0,1,0,0,3.5799999237060547,0,0,Henry,F,high,2019,0,0,h,0,0,0,1,0,22,1
930,1,0,0,0,0,1,0,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,20,1
1147,1,0,0,0,0,1,0,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,31,1
2681,1,0,1,0,0,1,0,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,33,1
1565,1,0,1,0,0,1,0,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,19,1
179,0,0,0,0,0,1,0,0,3.3153605730711377,1,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,23,1
249,1,0,1,0,1,0,0,0,3.4700000286102295,0,0,Acosta,F,high,2019,0,0,h,0,0,0,1,0,21,1
680,0,0,0,0,1,0,0,0,3.2300000190734863,0,1,Acosta,F,low,2019,0,1,h,0,0,1,0,0,19,1
790,0,0,1,0,1,0,0,0,3.700000047683716,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,20,1
1374,0,0,0,0,1,0,0,0,3.869999885559082,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
380,1,0,1,0,1,0,0,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,37,1
666,1,0,1,0,1,0,0,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
863,0,0,0,0,1,0,0,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,20,1
1419,1,0,0,0,1,0,0,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
