ID,score,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,year,online,lowgpa,gpamiss,q1,q2,q3,q4,age,time
184,67.5,0,0,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,27.444215774536133,1
186,27.500000000000004,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,23.02806282043457,1
187,37.5,0,1,1,0,0,0,0,0,1,1,Placido,S,2019,1,1,0,1,0,0,0,22.94318962097168,1
193,45,0,0,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,23.444215774536133,1
199,42.5,0,1,0,0,0,1,0,2.059999942779541,0,1,Placido,S,2019,1,1,0,1,0,0,0,22.5242977142334,1
200,32.5,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,42.60917282104492,1
204,40,0,0,0,0,0,1,0,2.430000066757202,0,1,Henry,S,2019,0,1,0,1,0,0,0,21.524982452392578,1
205,52.5,0,1,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,24.443531036376953,1
207,55.00000000000001,0,1,0,0,1,0,0,1.9500000476837158,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.60985565185547,1
208,57.49999999999999,0,1,1,0,0,0,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,27.693361282348633,1
213,57.49999999999999,0,0,1,0,0,0,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,25.196441650390625,1
219,55.00000000000001,0,1,1,0,0,0,0,3.180000066757202,0,0,Henry,S,2019,0,1,0,0,1,0,0,22.442163467407227,1
221,72.5,0,0,0,1,0,0,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,21.357973098754883,1
223,55.00000000000001,0,1,0,0,1,0,0,1.7799999713897705,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.525667190551758,1
235,42.5,0,0,0,0,0,1,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,25.02943229675293,1
239,47.5,0,1,0,0,0,1,0,2.8399999141693115,0,0,Placido,S,2019,1,1,0,1,0,0,0,24.692676544189453,1
244,40,0,1,1,0,0,0,0,2.8399999141693115,0,1,Placido,S,2019,1,1,0,1,0,0,0,23.110198974609375,1
